"country","year","num_cases","num_deaths","region"
"Vanuatu",2008,3765,4,"Western Pacific"
"Viet Nam",2008,11355,25,"Western Pacific"
"Cambodia",2007,42518,241,"Western Pacific"
"China",2007,29304,18,"Western Pacific"
"Democratic People's Republic of Korea",2007,4345,0,"Western Pacific"
"Lao People's Democratic Republic",2007,17458,14,"Western Pacific"
"Malaysia",2007,4048,15,"Western Pacific"
"Papua New Guinea",2007,86955,559,"Western Pacific"
"Philippines",2007,36235,73,"Western Pacific"
"Republic of Korea",2007,2227,1,"Western Pacific"
"Solomon Islands",2007,65404,15,"Western Pacific"
"Vanuatu",2007,5471,5,"Western Pacific"
"Viet Nam",2007,16389,20,"Western Pacific"
"Cambodia",2006,78696,396,"Western Pacific"
"China",2006,35383,37,"Western Pacific"
"Democratic People's Republic of Korea",2006,12983,NA,"Western Pacific"
"Lao People's Democratic Republic",2006,18382,21,"Western Pacific"
"Malaysia",2006,5294,21,"Western Pacific"
"Papua New Guinea",2006,93938,668,"Western Pacific"
"Philippines",2006,35405,124,"Western Pacific"
"Republic of Korea",2006,2051,0,"Western Pacific"
"Solomon Islands",2006,75337,12,"Western Pacific"
"Vanuatu",2006,8055,1,"Western Pacific"
"Viet Nam",2006,22637,41,"Western Pacific"
"Cambodia",2005,49436,296,"Western Pacific"
"China",2005,21936,48,"Western Pacific"
"Democratic People's Republic of Korea",2005,11315,NA,"Western Pacific"
"Lao People's Democratic Republic",2005,13615,77,"Western Pacific"
"Malaysia",2005,5569,33,"Western Pacific"
"Papua New Guinea",2005,92957,725,"Western Pacific"
"Philippines",2005,46342,145,"Western Pacific"
"Republic of Korea",2005,1369,0,"Western Pacific"
"Solomon Islands",2005,76390,38,"Western Pacific"
"Vanuatu",2005,9834,5,"Western Pacific"
"Viet Nam",2005,19496,18,"Western Pacific"
"Cambodia",2004,59745,382,"Western Pacific"
"China",2004,27197,31,"Western Pacific"
"Democratic People's Republic of Korea",2004,27090,NA,"Western Pacific"
"Lao People's Democratic Republic",2004,16183,105,"Western Pacific"
"Malaysia",2004,6154,35,"Western Pacific"
"Papua New Guinea",2004,91055,619,"Western Pacific"
"Philippines",2004,50850,167,"Western Pacific"
"Republic of Korea",2004,864,0,"Western Pacific"
"Solomon Islands",2004,90297,51,"Western Pacific"
"Vanuatu",2004,14653,3,"Western Pacific"
"Viet Nam",2004,24909,34,"Western Pacific"
"Cambodia",2003,71265,492,"Western Pacific"
"China",2003,28491,52,"Western Pacific"
"Democratic People's Republic of Korea",2003,16538,NA,"Western Pacific"
"Lao People's Democratic Republic",2003,18894,187,"Western Pacific"
"Malaysia",2003,6338,21,"Western Pacific"
"Papua New Guinea",2003,72620,537,"Western Pacific"
"Philippines",2003,48441,162,"Western Pacific"
"Republic of Korea",2003,1171,0,"Western Pacific"
"Solomon Islands",2003,92227,71,"Western Pacific"
"Vanuatu",2003,15240,14,"Western Pacific"
"Viet Nam",2003,38790,50,"Western Pacific"
"Cambodia",2002,46902,457,"Western Pacific"
"China",2002,25520,42,"Western Pacific"
"Democratic People's Republic of Korea",2002,16578,NA,"Western Pacific"
"Lao People's Democratic Republic",2002,21420,195,"Western Pacific"
"Malaysia",2002,11019,38,"Western Pacific"
"Papua New Guinea",2002,75748,647,"Western Pacific"
"Philippines",2002,37005,71,"Western Pacific"
"Republic of Korea",2002,1799,0,"Western Pacific"
"Solomon Islands",2002,74936,61,"Western Pacific"
"Vanuatu",2002,14339,13,"Western Pacific"
"Viet Nam",2002,47807,50,"Western Pacific"
"Cambodia",2001,53601,476,"Western Pacific"
"China",2001,21237,27,"Western Pacific"
"Democratic People's Republic of Korea",2001,143674,NA,"Western Pacific"
"Lao People's Democratic Republic",2001,27076,242,"Western Pacific"
"Malaysia",2001,12780,46,"Western Pacific"
"Papua New Guinea",2001,94484,562,"Western Pacific"
"Philippines",2001,34787,439,"Western Pacific"
"Republic of Korea",2001,2556,0,"Western Pacific"
"Solomon Islands",2001,76493,55,"Western Pacific"
"Vanuatu",2001,7647,4,"Western Pacific"
"Viet Nam",2001,68699,91,"Western Pacific"
"Cambodia",2000,62442,608,"Western Pacific"
"China",2000,8025,31,"Western Pacific"
"Democratic People's Republic of Korea",2000,90582,NA,"Western Pacific"
"Lao People's Democratic Republic",2000,40106,350,"Western Pacific"
"Malaysia",2000,12705,35,"Western Pacific"
"Papua New Guinea",2000,79839,617,"Western Pacific"
"Philippines",2000,36596,536,"Western Pacific"
"Republic of Korea",2000,4183,0,"Western Pacific"
"Solomon Islands",2000,68107,38,"Western Pacific"
"Vanuatu",2000,6768,3,"Western Pacific"
"Viet Nam",2000,74316,142,"Western Pacific"
