"","country","year","num_cases","num_deaths","region"
"104","Morocco",2010,3,2,"Eastern Mediterranean"
"105","Oman",2010,7,0,"Eastern Mediterranean"
"106","Pakistan",2010,240591,NA,"Eastern Mediterranean"
"107","Saudi Arabia",2010,29,0,"Eastern Mediterranean"
"108","Somalia",2010,24553,6,"Eastern Mediterranean"
"109","Sudan",2010,720557,1023,"Eastern Mediterranean"
"110","Syrian Arab Republic",2010,0,0,"Eastern Mediterranean"
"111","United Arab Emirates",2010,NA,NA,"Eastern Mediterranean"
"112","Yemen",2010,106697,92,"Eastern Mediterranean"
"113","Afghanistan",2009,64880,32,"Eastern Mediterranean"
"114","Djibouti",2009,2686,0,"Eastern Mediterranean"
"115","Egypt",2009,0,2,"Eastern Mediterranean"
"116","Iran (Islamic Republic of)",2009,4345,NA,"Eastern Mediterranean"
"117","Iraq",2009,0,0,"Eastern Mediterranean"
"118","Morocco",2009,0,1,"Eastern Mediterranean"
"119","Oman",2009,0,2,"Eastern Mediterranean"
"120","Pakistan",2009,167579,NA,"Eastern Mediterranean"
"121","Saudi Arabia",2009,58,0,"Eastern Mediterranean"
"122","Somalia",2009,25202,45,"Eastern Mediterranean"
"123","Sudan",2009,711462,1142,"Eastern Mediterranean"
"124","Syrian Arab Republic",2009,0,1,"Eastern Mediterranean"
"125","United Arab Emirates",2009,NA,NA,"Eastern Mediterranean"
"126","Yemen",2009,55446,38,"Eastern Mediterranean"
"127","Afghanistan",2008,81574,46,"Eastern Mediterranean"
"128","Djibouti",2008,119,NA,"Eastern Mediterranean"
"129","Egypt",2008,0,2,"Eastern Mediterranean"
"130","Iran (Islamic Republic of)",2008,8349,3,"Eastern Mediterranean"
"131","Iraq",2008,2,0,"Eastern Mediterranean"
"132","Morocco",2008,0,1,"Eastern Mediterranean"
"133","Oman",2008,8,2,"Eastern Mediterranean"
"134","Pakistan",2008,104454,NA,"Eastern Mediterranean"
"135","Saudi Arabia",2008,61,0,"Eastern Mediterranean"
"136","Somalia",2008,36905,49,"Eastern Mediterranean"
"137","Sudan",2008,569296,1125,"Eastern Mediterranean"
"138","Syrian Arab Republic",2008,0,1,"Eastern Mediterranean"
"139","United Arab Emirates",2008,NA,NA,"Eastern Mediterranean"
"140","Yemen",2008,44206,NA,"Eastern Mediterranean"
"141","Afghanistan",2007,92202,25,"Eastern Mediterranean"
"142","Djibouti",2007,210,1,"Eastern Mediterranean"
"143","Egypt",2007,0,0,"Eastern Mediterranean"
"144","Iran (Islamic Republic of)",2007,15712,3,"Eastern Mediterranean"
"145","Iraq",2007,3,0,"Eastern Mediterranean"
"146","Morocco",2007,0,2,"Eastern Mediterranean"
"147","Oman",2007,4,0,"Eastern Mediterranean"
"148","Pakistan",2007,128570,24,"Eastern Mediterranean"
"149","Saudi Arabia",2007,467,0,"Eastern Mediterranean"
"150","Somalia",2007,16675,45,"Eastern Mediterranean"
"151","Sudan",2007,686908,1254,"Eastern Mediterranean"
"152","Syrian Arab Republic",2007,0,1,"Eastern Mediterranean"
"153","United Arab Emirates",2007,NA,NA,"Eastern Mediterranean"
"154","Yemen",2007,67677,NA,"Eastern Mediterranean"
"155","Afghanistan",2006,86129,NA,"Eastern Mediterranean"
"156","Djibouti",2006,1796,29,"Eastern Mediterranean"
"157","Egypt",2006,0,0,"Eastern Mediterranean"
"158","Iran (Islamic Republic of)",2006,15909,1,"Eastern Mediterranean"
"159","Iraq",2006,24,0,"Eastern Mediterranean"
"160","Morocco",2006,0,2,"Eastern Mediterranean"
"161","Oman",2006,0,0,"Eastern Mediterranean"
"162","Pakistan",2006,124910,9,"Eastern Mediterranean"
"163","Saudi Arabia",2006,1278,0,"Eastern Mediterranean"
"164","Somalia",2006,16430,58,"Eastern Mediterranean"
"165","Sudan",2006,721233,1193,"Eastern Mediterranean"
"166","Syrian Arab Republic",2006,0,2,"Eastern Mediterranean"
"167","United Arab Emirates",2006,NA,NA,"Eastern Mediterranean"
"168","Yemen",2006,55000,73,"Eastern Mediterranean"
"169","Afghanistan",2005,116444,0,"Eastern Mediterranean"
"170","Djibouti",2005,413,NA,"Eastern Mediterranean"
"171","Egypt",2005,0,NA,"Eastern Mediterranean"
"172","Iran (Islamic Republic of)",2005,18966,1,"Eastern Mediterranean"
"173","Iraq",2005,47,0,"Eastern Mediterranean"
"174","Morocco",2005,0,1,"Eastern Mediterranean"
"175","Oman",2005,0,0,"Eastern Mediterranean"
"176","Pakistan",2005,127826,52,"Eastern Mediterranean"
"177","Saudi Arabia",2005,1059,0,"Eastern Mediterranean"
"178","Somalia",2005,12516,15,"Eastern Mediterranean"
"179","Sudan",2005,628417,1789,"Eastern Mediterranean"
"180","Syrian Arab Republic",2005,0,2,"Eastern Mediterranean"
"181","United Arab Emirates",2005,NA,NA,"Eastern Mediterranean"
"182","Yemen",2005,44150,NA,"Eastern Mediterranean"
"183","Afghanistan",2004,242022,NA,"Eastern Mediterranean"
"184","Djibouti",2004,122,NA,"Eastern Mediterranean"
"185","Egypt",2004,0,NA,"Eastern Mediterranean"
"186","Iran (Islamic Republic of)",2004,13821,1,"Eastern Mediterranean"
"187","Iraq",2004,155,NA,"Eastern Mediterranean"
"188","Morocco",2004,1,NA,"Eastern Mediterranean"
"189","Oman",2004,0,NA,"Eastern Mediterranean"
"190","Pakistan",2004,126719,NA,"Eastern Mediterranean"
"191","Saudi Arabia",2004,1232,0,"Eastern Mediterranean"
"192","Somalia",2004,11436,79,"Eastern Mediterranean"
"193","Sudan",2004,537899,1814,"Eastern Mediterranean"
"194","Syrian Arab Republic",2004,1,NA,"Eastern Mediterranean"
"195","United Arab Emirates",2004,NA,NA,"Eastern Mediterranean"
"196","Yemen",2004,48756,NA,"Eastern Mediterranean"
"197","Afghanistan",2003,360940,NA,"Eastern Mediterranean"
"198","Djibouti",2003,5036,NA,"Eastern Mediterranean"
"199","Egypt",2003,0,NA,"Eastern Mediterranean"
"200","Iran (Islamic Republic of)",2003,23562,5,"Eastern Mediterranean"
"201","Iraq",2003,347,NA,"Eastern Mediterranean"
"202","Morocco",2003,4,NA,"Eastern Mediterranean"
"203","Oman",2003,6,NA,"Eastern Mediterranean"
"204","Pakistan",2003,125152,NA,"Eastern Mediterranean"
"205","Saudi Arabia",2003,1724,0,"Eastern Mediterranean"
"206","Somalia",2003,7571,54,"Eastern Mediterranean"
"207","Sudan",2003,933267,2479,"Eastern Mediterranean"
"208","Syrian Arab Republic",2003,2,NA,"Eastern Mediterranean"
"209","United Arab Emirates",2003,NA,NA,"Eastern Mediterranean"
"210","Yemen",2003,50811,NA,"Eastern Mediterranean"
"211","Afghanistan",2002,415356,NA,"Eastern Mediterranean"
"212","Djibouti",2002,NA,NA,"Eastern Mediterranean"
"213","Egypt",2002,0,NA,"Eastern Mediterranean"
"214","Iran (Islamic Republic of)",2002,15558,2,"Eastern Mediterranean"
"215","Iraq",2002,952,NA,"Eastern Mediterranean"
"216","Morocco",2002,19,NA,"Eastern Mediterranean"
"217","Oman",2002,6,NA,"Eastern Mediterranean"
"218","Pakistan",2002,107666,NA,"Eastern Mediterranean"
"219","Saudi Arabia",2002,2612,0,"Eastern Mediterranean"
"220","Somalia",2002,15732,8,"Eastern Mediterranean"
"221","Sudan",2002,280550,2125,"Eastern Mediterranean"
"222","Syrian Arab Republic",2002,15,NA,"Eastern Mediterranean"
"223","United Arab Emirates",2002,NA,NA,"Eastern Mediterranean"
"224","Yemen",2002,75508,NA,"Eastern Mediterranean"
"225","Afghanistan",2001,50850,NA,"Eastern Mediterranean"
"226","Djibouti",2001,NA,NA,"Eastern Mediterranean"
"227","Egypt",2001,0,NA,"Eastern Mediterranean"
"228","Iran (Islamic Republic of)",2001,19303,2,"Eastern Mediterranean"
"229","Iraq",2001,1265,NA,"Eastern Mediterranean"
"230","Morocco",2001,0,NA,"Eastern Mediterranean"
"231","Oman",2001,2,NA,"Eastern Mediterranean"
"232","Pakistan",2001,125292,NA,"Eastern Mediterranean"
"233","Saudi Arabia",2001,3074,0,"Eastern Mediterranean"
"234","Somalia",2001,NA,NA,"Eastern Mediterranean"
"235","Sudan",2001,203491,2252,"Eastern Mediterranean"
"236","Syrian Arab Republic",2001,63,NA,"Eastern Mediterranean"
"237","United Arab Emirates",2001,NA,NA,"Eastern Mediterranean"
"238","Yemen",2001,NA,NA,"Eastern Mediterranean"
"239","Afghanistan",2000,94475,NA,"Eastern Mediterranean"
"240","Djibouti",2000,NA,NA,"Eastern Mediterranean"
"241","Egypt",2000,0,NA,"Eastern Mediterranean"
"242","Iran (Islamic Republic of)",2000,19716,4,"Eastern Mediterranean"
"243","Iraq",2000,1860,NA,"Eastern Mediterranean"
"244","Morocco",2000,3,NA,"Eastern Mediterranean"
"245","Oman",2000,6,NA,"Eastern Mediterranean"
"246","Pakistan",2000,82526,NA,"Eastern Mediterranean"
"247","Saudi Arabia",2000,6608,NA,"Eastern Mediterranean"
"248","Somalia",2000,NA,NA,"Eastern Mediterranean"
"249","Sudan",2000,368557,2162,"Eastern Mediterranean"
"250","Syrian Arab Republic",2000,6,NA,"Eastern Mediterranean"
"251","United Arab Emirates",2000,NA,NA,"Eastern Mediterranean"
"252","Yemen",2000,1394495,NA,"Eastern Mediterranean"
